tag,seed,win_pre,win_post,hos,jitter,salinan,threshold,n_train,menit,anot_accuracy,anot_precision,anot_recall,anot_specificity,anot_f1,anot_auc,anot_recall_S,anot_recall_V,anot_recall_F,jit_accuracy,jit_precision,jit_recall,jit_specificity,jit_f1,jit_auc,jit_recall_S,jit_recall_V,jit_recall_F
bersih,42,90,160,0,none,0,0.400000,40617,0.700000,0.891489,0.504484,0.640000,0.922496,0.564219,0.887950,0.238017,0.908667,0.311856,0.890865,0.502219,0.643914,0.921312,0.564307,0.884993,0.244372,0.910738,0.317010
jitter,42,90,160,0,empiris,2,0.750000,121851,1.700000,0.900209,0.537597,0.649358,0.931137,0.588216,0.892191,0.294662,0.911153,0.162371,0.891556,0.504579,0.660428,0.920052,0.572079,0.887581,0.320080,0.911153,0.195017
w128,42,128,127,0,empiris,2,0.850000,121857,2.000000,0.926816,0.667466,0.664037,0.959214,0.665747,0.933701,0.325708,0.923268,0.115979,0.921500,0.634308,0.672477,0.952201,0.652831,0.929726,0.354575,0.918608,0.136598
w112,42,112,144,0,empiris,2,0.550000,121852,1.500000,0.895336,0.517814,0.674679,0.922541,0.585929,0.910427,0.349129,0.931656,0.082474,0.884072,0.480231,0.682691,0.908900,0.563837,0.904279,0.379630,0.929171,0.071306
hos,42,90,160,1,empiris,2,0.700000,121851,1.800000,0.877895,0.462508,0.693761,0.900597,0.555009,0.901609,0.496732,0.879776,0.085052,0.870913,0.446060,0.728073,0.888524,0.553198,0.899423,0.592593,0.881744,0.097079
bersih,7,90,160,0,none,0,0.500000,40617,0.800000,0.875277,0.454767,0.685321,0.898697,0.546732,0.905629,0.325163,0.936005,0.311856,0.838952,0.377521,0.720122,0.853603,0.495353,0.887609,0.409405,0.941493,0.356529
jitter,7,90,160,0,empiris,2,0.600000,121851,1.500000,0.930499,0.694720,0.654312,0.964551,0.673911,0.924695,0.273420,0.931034,0.164948,0.919295,0.625158,0.661101,0.951128,0.642626,0.911717,0.295933,0.929274,0.167526
w128,7,128,127,0,empiris,2,0.550000,121857,1.300000,0.921580,0.610511,0.788624,0.937972,0.688231,0.943092,0.669390,0.936005,0.134021,0.921910,0.610370,0.797798,0.937211,0.691607,0.943717,0.690087,0.936833,0.158076
w112,7,112,144,0,empiris,2,0.550000,121853,1.300000,0.869356,0.440871,0.709358,0.889082,0.543779,0.916386,0.440087,0.924200,0.203608,0.856065,0.411689,0.725688,0.872139,0.525342,0.910517,0.473675,0.928031,0.242268
hos,7,90,160,1,empiris,2,0.550000,121851,1.300000,0.919845,0.636212,0.629908,0.955592,0.633044,0.845127,0.226580,0.903075,0.270619,0.915851,0.612717,0.634190,0.950578,0.623268,0.844433,0.238017,0.903179,0.275773
bersih,13,90,160,0,none,0,0.400000,40617,0.600000,0.897088,0.524538,0.666789,0.925482,0.587171,0.867335,0.241830,0.953091,0.301546,0.886159,0.486691,0.679755,0.911607,0.567244,0.870587,0.272876,0.955266,0.318729
jitter,13,90,160,0,empiris,2,0.800000,121851,1.400000,0.922181,0.646689,0.641468,0.956791,0.644068,0.908172,0.245643,0.922336,0.180412,0.917348,0.618402,0.644954,0.950932,0.631399,0.905038,0.259259,0.918091,0.200172
w128,13,128,127,0,empiris,2,0.550000,121857,1.200000,0.921681,0.617421,0.753028,0.942474,0.678515,0.941384,0.466231,0.967071,0.337629,0.912351,0.576026,0.762997,0.930764,0.656458,0.939622,0.488925,0.968520,0.358247
