tag,seed,db,set,n_beat,n_aritmia,threshold,accuracy,precision,recall,specificity,f1,auc,recall_S,recall_V,recall_F
t8_lr1e3,42,svdb,TEST-B,44704,7097,0.850000,0.894931,0.908998,0.375793,0.992900,0.531752,0.868561,0.234508,0.771046,0.000000
t8_lr1e3,42,incartdb,TEST-C,41108,5167,0.850000,0.893208,0.550951,0.813044,0.904733,0.656817,0.933537,0.243607,0.911217,0.352941
t8_lr1e3,7,svdb,TEST-B,44704,7097,0.400000,0.866679,0.604600,0.463013,0.942856,0.524417,0.825691,0.299961,0.909920,0.000000
t8_lr1e3,7,incartdb,TEST-C,41108,5167,0.400000,0.854894,0.456038,0.801045,0.862636,0.581198,0.913050,0.061911,0.926885,0.588235
t8_lr1e3,13,svdb,TEST-B,44704,7097,0.700000,0.890860,0.874409,0.364943,0.990108,0.514962,0.905901,0.213788,0.789276,0.000000
t8_lr1e3,13,incartdb,TEST-C,41108,5167,0.700000,0.948769,0.793593,0.800658,0.970062,0.797110,0.958993,0.145357,0.913715,0.235294
t8_lr1e4,42,svdb,TEST-B,44704,7097,0.600000,0.885245,0.709033,0.470058,0.963597,0.565328,0.908004,0.312161,0.914209,0.000000
t8_lr1e4,42,incartdb,TEST-C,41108,5167,0.600000,0.952442,0.797297,0.833559,0.969533,0.815025,0.957510,0.130552,0.953906,0.470588
t8_lr1e4,7,svdb,TEST-B,44704,7097,0.550000,0.871152,0.630185,0.455967,0.949504,0.529104,0.876985,0.293765,0.910992,0.000000
t8_lr1e4,7,incartdb,TEST-C,41108,5167,0.550000,0.955143,0.813195,0.834914,0.972427,0.823911,0.968916,0.127860,0.955041,0.705882
t8_lr1e4,13,svdb,TEST-B,44704,7097,0.450000,0.865627,0.612232,0.418909,0.949930,0.497448,0.872892,0.246708,0.899732,0.000000
t8_lr1e4,13,incartdb,TEST-C,41108,5167,0.450000,0.940401,0.750692,0.787304,0.962411,0.768562,0.931221,0.064603,0.910763,0.470588
t8_lr3e4,42,svdb,TEST-B,44704,7097,0.600000,0.880906,0.691842,0.450472,0.962135,0.545656,0.899410,0.290473,0.899732,0.000000
t8_lr3e4,42,incartdb,TEST-C,41108,5167,0.600000,0.965797,0.887652,0.833366,0.984836,0.859653,0.975653,0.176312,0.945958,0.470588
t8_lr3e4,7,svdb,TEST-B,44704,7097,0.500000,0.872696,0.669072,0.391997,0.963411,0.494358,0.909077,0.231216,0.842359,0.000000
t8_lr3e4,7,incartdb,TEST-C,41108,5167,0.500000,0.963413,0.932468,0.764273,0.992043,0.840034,0.978085,0.072678,0.882607,0.411765
t8_lr3e4,13,svdb,TEST-B,44704,7097,0.450000,0.862742,0.596467,0.418628,0.946553,0.491969,0.879395,0.245159,0.904021,0.000000
t8_lr3e4,13,incartdb,TEST-C,41108,5167,0.450000,0.962781,0.888319,0.805109,0.985448,0.844670,0.962474,0.072678,0.930291,0.470588
