threshold,tp,fn,fp,tn,accuracy,precision,recall,specificity,f1
0.05,1003,43,4913,4389,0.521067,0.169540,0.958891,0.471834,0.288136
0.10,980,66,3233,6069,0.681194,0.232613,0.936902,0.652440,0.372694
0.15,959,87,1870,7432,0.810881,0.338989,0.916826,0.798968,0.494968
0.20,929,117,915,8387,0.900271,0.503796,0.888145,0.901634,0.642907
0.25,902,144,496,8806,0.938152,0.645207,0.862333,0.946678,0.738134
0.30,876,170,302,9000,0.954387,0.743633,0.837476,0.967534,0.787770
0.35,849,197,195,9107,0.962118,0.813218,0.811663,0.979037,0.812440
0.40,808,238,132,9170,0.964244,0.859574,0.772467,0.985810,0.813696
0.45,764,282,88,9214,0.964244,0.896714,0.730402,0.990540,0.805058
0.50,728,318,67,9235,0.962795,0.915723,0.695985,0.992797,0.790875
0.55,685,361,47,9255,0.960572,0.935792,0.654876,0.994947,0.770529
0.60,632,414,35,9267,0.956610,0.947526,0.604207,0.996237,0.737887
0.65,576,470,27,9275,0.951971,0.955224,0.550669,0.997097,0.698605
0.70,524,522,20,9282,0.947623,0.963235,0.500956,0.997850,0.659119
0.75,467,579,11,9291,0.942984,0.976987,0.446463,0.998817,0.612861
0.80,393,653,10,9292,0.935930,0.975186,0.375717,0.998925,0.542443
0.85,315,731,7,9295,0.928682,0.978261,0.301147,0.999247,0.460526
0.90,229,817,3,9299,0.920758,0.987069,0.218929,0.999677,0.358372
0.95,152,894,2,9300,0.913413,0.987013,0.145315,0.999785,0.253333
