record,n_anotasi,n_cocok,n_lewat,n_palsu,median,std,abs_p95
101,1865,1864,1,6,-1.0,1.744,1.0
106,2027,2014,13,8,0.0,2.757,3.0
108,1763,1677,86,829,-1.0,14.771,26.0
109,2532,2527,5,50,-2.0,1.979,4.0
112,2539,2539,0,0,0.0,0.453,1.0
114,1879,1877,2,1,1.0,3.528,1.0
115,1953,1953,0,0,1.0,0.429,1.0
116,2412,2386,26,5,0.0,1.169,2.0
118,2278,2278,0,1050,1.0,1.229,2.0
119,1987,1987,0,138,0.0,0.622,1.0
122,2476,2476,0,0,-1.0,0.505,2.0
124,1619,1588,31,0,-2.0,2.599,2.0
201,1963,1898,65,0,0.0,3.545,1.0
203,2980,2854,126,116,-2.0,10.792,30.0
205,2656,2652,4,8,0.0,4.894,1.0
207,1860,1842,18,345,21.0,17.434,28.0
208,2955,2929,26,27,0.0,3.201,4.0
209,3005,3005,0,1,1.0,0.612,1.0
215,3363,3360,3,20,0.0,1.582,1.0
220,2048,2048,0,0,1.0,0.483,1.0
223,2605,2591,14,1,0.0,3.307,2.0
230,2256,2256,0,0,1.0,0.690,1.0
TOTAL,51021,50601,420,2605,0.0,6.071,18.0
