model_jitter,delta,seed,n,accuracy,precision,recall,specificity,f1,auc,recall_S,recall_V,recall_F
anotasi,0,0,49654,0.887824,0.491870,0.666055,0.915166,0.565861,0.886612,0.303377,0.933209,0.167526
seragam,0,0,49654,0.887824,0.491870,0.666055,0.915166,0.565861,0.886612,0.303377,0.933209,0.167526
seragam,2,0,49654,0.765437,0.282026,0.735596,0.769116,0.407729,0.850745,0.467320,0.942839,0.288660
seragam,2,1,49654,0.765356,0.282893,0.741284,0.768324,0.409508,0.852824,0.474401,0.944703,0.319588
seragam,2,2,49654,0.763604,0.279647,0.732110,0.767487,0.404706,0.851327,0.463508,0.940665,0.275773
seragam,2,3,49654,0.763524,0.280705,0.738899,0.766560,0.406850,0.852313,0.471678,0.943771,0.306701
seragam,2,4,49654,0.764188,0.281169,0.737798,0.767442,0.407169,0.852871,0.476035,0.939112,0.309278
seragam,4,0,49654,0.609095,0.195648,0.823303,0.582685,0.316164,0.814828,0.670479,0.950916,0.492268
seragam,4,1,49654,0.607021,0.196067,0.832294,0.579246,0.317369,0.817418,0.694444,0.952159,0.494845
seragam,4,2,49654,0.608189,0.196217,0.829908,0.580852,0.317392,0.815992,0.694989,0.949363,0.481959
seragam,4,3,49654,0.607363,0.195684,0.828624,0.580083,0.316601,0.817281,0.680828,0.950295,0.523196
seragam,4,4,49654,0.608209,0.196252,0.830092,0.580852,0.317451,0.817226,0.686819,0.950606,0.512887
seragam,6,0,49654,0.584646,0.187186,0.833028,0.554022,0.305683,0.812789,0.698802,0.948431,0.515464
seragam,6,1,49654,0.583800,0.188580,0.845321,0.551556,0.308367,0.814903,0.730392,0.949984,0.525773
seragam,6,2,49654,0.582451,0.187042,0.837982,0.550946,0.305822,0.814967,0.720044,0.946567,0.500000
seragam,6,3,49654,0.582189,0.187454,0.841651,0.550199,0.306618,0.815096,0.722767,0.946878,0.536082
seragam,6,4,49654,0.581987,0.188243,0.847890,0.549204,0.308087,0.816257,0.731481,0.949984,0.556701
seragam,8,0,49654,0.651005,0.211128,0.796514,0.633065,0.333782,0.823018,0.619826,0.944082,0.412371
seragam,8,1,49654,0.648004,0.210252,0.800734,0.629174,0.333053,0.822798,0.628540,0.942839,0.440722
seragam,8,2,49654,0.651952,0.212955,0.805321,0.633042,0.336838,0.826276,0.636166,0.942218,0.474227
seragam,8,3,49654,0.653120,0.212240,0.796697,0.635418,0.335186,0.822487,0.620915,0.936937,0.469072
seragam,8,4,49654,0.648568,0.210816,0.802569,0.629581,0.333919,0.824698,0.627996,0.943771,0.458763
seragam,10,0,49654,0.668566,0.219195,0.788257,0.653810,0.343008,0.827655,0.600218,0.942218,0.404639
seragam,10,1,49654,0.666996,0.218240,0.787706,0.652113,0.341786,0.824379,0.600218,0.941286,0.404639
seragam,10,2,49654,0.669533,0.221046,0.796697,0.653855,0.346073,0.829225,0.620370,0.942218,0.427835
seragam,10,3,49654,0.667177,0.217766,0.784037,0.652769,0.340858,0.825340,0.596405,0.935694,0.417526
seragam,10,4,49654,0.667560,0.218952,0.790275,0.652430,0.342900,0.826179,0.599673,0.942839,0.427835
seragam,12,0,49654,0.625206,0.200855,0.810642,0.602344,0.321941,0.817231,0.652505,0.941597,0.476804
seragam,12,1,49654,0.628932,0.202695,0.811560,0.606416,0.324374,0.815598,0.659586,0.941597,0.456186
seragam,12,2,49654,0.624763,0.200790,0.811560,0.601733,0.321930,0.817627,0.659041,0.940665,0.466495
seragam,12,3,49654,0.623515,0.199873,0.809174,0.600624,0.320564,0.815868,0.657952,0.937869,0.463918
seragam,12,4,49654,0.627039,0.201526,0.809541,0.604538,0.322715,0.816758,0.653595,0.943461,0.438144
seragam,14,0,49654,0.611673,0.195599,0.815413,0.586553,0.315513,0.814385,0.670479,0.940354,0.469072
seragam,14,1,49654,0.613324,0.196253,0.815046,0.588454,0.316337,0.813061,0.663943,0.943150,0.471649
seragam,14,2,49654,0.610505,0.195341,0.817064,0.585038,0.315301,0.814275,0.681917,0.940043,0.440722
seragam,14,3,49654,0.610263,0.195265,0.817248,0.584743,0.315216,0.814535,0.686275,0.937869,0.443299
seragam,14,4,49654,0.612317,0.196623,0.820550,0.586644,0.317231,0.815405,0.690632,0.940975,0.438144
seragam,16,0,49654,0.640714,0.205505,0.793211,0.621912,0.326437,0.818444,0.617647,0.938180,0.422680
seragam,16,1,49654,0.642526,0.206864,0.796330,0.623563,0.328415,0.816654,0.621460,0.938490,0.448454
seragam,16,2,49654,0.639143,0.205248,0.796514,0.619740,0.326391,0.816728,0.634532,0.939422,0.381443
seragam,16,3,49654,0.643533,0.207721,0.798716,0.624401,0.329698,0.817913,0.643791,0.932898,0.425258
seragam,16,4,49654,0.644117,0.208204,0.800000,0.624898,0.330416,0.819202,0.639978,0.937558,0.417526
seragam,18,0,49654,0.650501,0.209998,0.790826,0.633201,0.331870,0.819303,0.626362,0.932898,0.391753
seragam,18,1,49654,0.653321,0.212315,0.796514,0.635666,0.335264,0.819691,0.629085,0.939422,0.407216
seragam,18,2,49654,0.650965,0.210375,0.791743,0.633608,0.332422,0.818680,0.623638,0.936626,0.389175
seragam,18,3,49654,0.654932,0.211677,0.786972,0.638653,0.333619,0.819019,0.618192,0.930413,0.399485
seragam,18,4,49654,0.653301,0.211939,0.794128,0.635938,0.334583,0.818998,0.620915,0.937869,0.422680
empiris,0,0,49654,0.812563,0.333131,0.706422,0.825649,0.452755,0.857397,0.405773,0.933830,0.244845
empiris,0,1,49654,0.810992,0.331420,0.709725,0.823478,0.451843,0.859153,0.412309,0.936005,0.244845
empiris,0,2,49654,0.814758,0.336845,0.709908,0.827685,0.456897,0.859036,0.411765,0.937248,0.237113
empiris,0,3,49654,0.812382,0.332930,0.706789,0.825400,0.452644,0.857976,0.411220,0.932277,0.237113
empiris,0,4,49654,0.812382,0.332988,0.707156,0.825355,0.452773,0.859423,0.410131,0.936005,0.216495
