beat,sampel,detik,rr_prev,rr_ratio,drr,prob,prediksi
0,2050,5.694,0.4000,0.1409,-4.8778,0.054688,0
1,2597,7.214,1.5194,0.6333,1.1194,0.000000,0
2,3720,10.333,3.1194,1.2095,1.6000,0.000000,0
3,3936,10.933,0.6000,0.2748,-2.5194,0.046875,0
4,4008,11.133,0.2000,0.1079,-0.4000,0.039062,0
5,4116,11.433,0.3000,0.1839,0.1000,0.015625,0
6,4404,12.233,0.8000,0.5239,0.5000,0.003906,0
7,4476,12.433,0.2000,0.1450,-0.6000,0.035156,0
8,4692,13.033,0.6000,0.4609,0.4000,0.003906,0
9,4764,13.233,0.2000,0.2519,-0.4000,0.023438,0
10,4836,13.433,0.2000,0.2584,0.0000,0.011719,0
11,4915,13.653,0.2194,0.3408,0.0194,0.023438,0
12,4987,13.853,0.2000,0.5683,-0.0194,0.019531,0
13,5095,14.153,0.3000,0.9318,0.1000,0.011719,0
14,5167,14.353,0.2000,0.6212,-0.1000,0.023438,0
15,5239,14.553,0.2000,0.6411,0.0000,0.023438,0
16,5311,14.753,0.2000,0.7938,0.0000,0.019531,0
17,5383,14.953,0.2000,0.7938,0.0000,0.019531,0
18,5455,15.153,0.2000,0.9436,0.0000,0.019531,0
19,5563,15.453,0.3000,1.3517,0.1000,0.011719,0
20,5635,15.653,0.2000,0.9011,-0.1000,0.019531,0
21,5671,15.753,0.1000,0.4762,-0.1000,0.027344,0
22,5743,15.953,0.2000,0.9524,0.1000,0.015625,0
23,5851,16.253,0.3000,1.4286,0.1000,0.007812,0
24,5923,16.453,0.2000,0.9524,-0.1000,0.015625,0
25,5995,16.653,0.2000,0.9524,0.0000,0.011719,0
26,6067,16.853,0.2000,0.9524,0.0000,0.011719,0
27,6139,17.053,0.2000,0.9524,0.0000,0.011719,0
28,6211,17.253,0.2000,0.9524,0.0000,0.011719,0
29,6319,17.553,0.3000,1.4286,0.1000,0.007812,0
30,6391,17.753,0.2000,0.9524,-0.1000,0.011719,0
31,6463,17.953,0.2000,0.9091,0.0000,0.011719,0
32,6607,18.353,0.4000,1.6667,0.2000,0.003906,0
33,6715,18.653,0.3000,1.2500,-0.1000,0.007812,0
34,6787,18.853,0.2000,0.8333,-0.1000,0.011719,0
35,6859,19.053,0.2000,0.8333,0.0000,0.011719,0
36,6938,19.272,0.2194,0.9070,0.0194,0.019531,0
37,7046,19.572,0.3000,1.1907,0.0806,0.011719,0
38,7082,19.672,0.1000,0.4133,-0.2000,0.035156,0
39,7154,19.872,0.2000,0.8623,0.1000,0.019531,0
40,7262,20.172,0.3000,1.2400,0.1000,0.011719,0
41,7334,20.372,0.2000,0.8266,-0.1000,0.019531,0
42,7406,20.572,0.2000,0.9011,0.0000,0.019531,0
43,7478,20.772,0.2000,0.9436,0.0000,0.015625,0
44,7550,20.972,0.2000,0.9436,0.0000,0.019531,0
45,7622,21.172,0.2000,0.9436,0.0000,0.011719,0
46,7730,21.472,0.3000,1.3636,0.1000,0.007812,0
47,7838,21.772,0.3000,1.3636,0.0000,0.007812,0
48,7910,21.972,0.2000,0.8696,-0.1000,0.011719,0
49,8018,22.272,0.3000,1.2500,0.1000,0.007812,0
50,8090,22.472,0.2000,0.8696,-0.1000,0.011719,0
51,8162,22.672,0.2000,0.8696,0.0000,0.011719,0
52,8277,22.992,0.3194,1.3203,0.1194,0.011719,0
53,8349,23.192,0.2000,0.8266,-0.1194,0.027344,0
54,8421,23.392,0.2000,0.8266,0.0000,0.019531,0
55,8493,23.592,0.2000,0.8266,0.0000,0.019531,0
56,8601,23.892,0.3000,1.2400,0.1000,0.011719,0
57,8673,24.092,0.2000,0.8623,-0.1000,0.019531,0
58,8709,24.192,0.1000,0.4506,-0.1000,0.031250,0
59,8817,24.492,0.3000,1.3517,0.2000,0.007812,0
60,8889,24.692,0.2000,0.9011,-0.1000,0.015625,0
61,8961,24.892,0.2000,0.9011,0.0000,0.011719,0
62,9069,25.192,0.3000,1.3636,0.1000,0.003906,0
63,9177,25.492,0.3000,1.3043,0.0000,0.007812,0
64,9249,25.692,0.2000,0.8696,-0.1000,0.011719,0
65,9328,25.911,0.2194,0.9461,0.0194,0.019531,0
66,9400,26.111,0.2000,0.9011,-0.0194,0.015625,0
67,9472,26.311,0.2000,0.9011,0.0000,0.019531,0
68,9544,26.511,0.2000,0.8623,0.0000,0.019531,0
69,9616,26.711,0.2000,0.9011,0.0000,0.019531,0
70,9688,26.911,0.2000,0.9011,0.0000,0.019531,0
71,9760,27.111,0.2000,0.9011,0.0000,0.019531,0
72,9832,27.311,0.2000,0.9436,0.0000,0.019531,0
73,9904,27.511,0.2000,0.9904,0.0000,0.015625,0
74,9976,27.711,0.2000,0.9904,0.0000,0.011719,0
75,10048,27.911,0.2000,1.0000,0.0000,0.011719,0
76,10120,28.111,0.2000,1.0000,0.0000,0.011719,0
77,10192,28.311,0.2000,1.0000,0.0000,0.011719,0
78,10264,28.511,0.2000,1.0000,0.0000,0.007812,0
79,10372,28.811,0.3000,1.4286,0.1000,0.007812,0
80,10444,29.011,0.2000,0.9524,-0.1000,0.011719,0
81,10552,29.311,0.3000,1.3636,0.1000,0.003906,0
82,10624,29.511,0.2000,0.9091,-0.1000,0.011719,0
83,10703,29.731,0.2194,0.9887,0.0194,0.015625,0
84,10775,29.931,0.2000,0.9011,-0.0194,0.015625,0
85,10847,30.131,0.2000,0.9011,0.0000,0.015625,0
86,10912,30.311,0.1806,0.8207,-0.0194,0.011719,0
87,10991,30.531,0.2194,0.9887,0.0389,0.015625,0
88,11063,30.731,0.2000,0.9011,-0.0194,0.015625,0
89,11135,30.931,0.2000,0.9436,0.0000,0.015625,0
90,11207,31.131,0.2000,0.9436,0.0000,0.015625,0
91,11279,31.331,0.2000,0.9904,0.0000,0.015625,0
92,11351,31.531,0.2000,0.9904,0.0000,0.015625,0
93,11423,31.731,0.2000,1.0000,0.0000,0.015625,0
