# sumber=Forerunner mulai=20260912-203931
t_host,hr,rr_ms
9.857,82,
10.396,82,
10.939,82,
11.483,82,
12.024,80,
12.570,80,
12.831,79,
13.323,79,
14.192,78,
14.468,78,
15.007,78,
15.548,78,
15.819,77,
16.636,77,
16.911,75,
17.453,75,
17.991,75,
18.531,75,
19.079,75,
19.348,75,
19.891,76,
20.432,76,
20.975,76,
21.518,76,
22.059,76,
22.336,76,
23.142,76,
23.691,76,
23.958,75,
24.498,75,
25.047,74,
25.591,74,
25.856,74,
26.400,74,
26.947,74,
27.484,74,
28.026,74,
28.567,74,
28.839,75,
29.382,75,
29.927,75,
30.472,75,
31.283,75,
31.555,75,
31.827,75,
32.639,75,
32.907,76,
33.451,76,
33.995,76,
34.534,76,
35.079,77,
35.355,77,
35.894,77,
36.435,77,
36.979,78,
37.523,78,
38.062,78,
38.335,78,
38.879,79,
39.423,79,
39.967,80,
40.503,80,
41.047,81,
41.591,81,
41.863,81,
42.679,81,
42.942,82,
43.490,82,
44.303,81,
44.571,81,
44.843,81,
45.387,81,
45.927,80,
46.476,80,
47.288,80,
47.560,80,
47.831,81,
48.371,81,
48.911,82,
49.459,82,
50.002,83,
50.811,83,
51.087,84,
51.360,84,
51.895,84,
52.443,84,
52.983,84,
53.527,84,
54.068,84,
54.607,84,
54.879,84,
55.428,84,
55.963,81,
56.511,81,
57.051,80,
57.328,80,
57.863,80,
58.407,80,
59.223,78,
59.495,78,
60.039,78,
60.575,78,
60.852,77,
61.395,77,
61.931,77,
62.476,77,
63.023,77,
63.564,77,
63.832,77,
64.379,77,
64.916,77,
65.460,77,
66.003,77,
66.547,77,
67.092,77,
67.359,77,
67.903,77,
68.719,77,
68.988,77,
69.531,77,
70.071,77,
70.343,77,
